"Author","Birth Year","Death Year","Work","Publication Year","Summary","Themes","Keywords"
"Josué Guimarães","1921","1986","O Anão de Jardim","1979","Romance de fantasia que gira em torno de um anão de jardim que ganha vida, explorando a relação entre realidade e imaginação.","Fantasia, Imaginação, Realidade","Romance, Fantasia, Anão, Imaginação"
"Josué Guimarães","1921","1986","Inventário do Inútil","1979","Romance que reflete sobre a vida e a morte, com um tom melancólico e filosófico, questionando o sentido da existência.","Existencialismo, Vida, Morte, Reflexão","Romance, Existencialismo, Vida, Morte, Reflexão"
"Josué Guimarães","1921","1986","Cão Velho","1980","Romance sobre a velhice e a solidão, usando a metáfora de um cão idoso para falar da passagem do tempo e das memórias.","Velhice, Solidão, Memória, Tempo","Romance, Velhice, Solidão, Memória"
"Josué Guimarães","1921","1986","Camilo Mortágua","1980","Romance policial que envolve um crime misterioso na cidade, com investigação e reviravoltas.","Crime, Mistério, Investigação","Romance, Crime, Mistério, Investigação"
"Josué Guimarães","1921","1986","A Casa das Quatro Luas","1980","Romance de ficção histórica ou fantástica que mistura elementos de mistério e tradição gaúcha, com uma casa que guarda segredos.","Mistério, Fantasia, Tradição","Romance, Mistério, Casa, Luas, Fantasia"
"Josué Guimarães","1921","1986","Campeão do Mundo","1986","Romance sobre futebol e paixão, que acompanha a trajetória de um jogador em busca do título mundial, refletindo sobre o esporte e a vida.","Futebol, Esporte, Paixão, Conquista","Romance, Futebol, Esporte, Paixão"Luiz Antônio de Assis Brasil, 1945, , Um Quarto de Légua em Quadro, 1976
"Luiz Antônio de Assis Brasil","1945","","Bacia das Almas","1982","Romance que explora a formação histórica e social do Rio Grande do Sul a partir da trajetória de uma família, mesclando ficção e história regional.","Romance Histórico, Formação Social, História do RS","Romance, Família, História Gaúcha, Formação"
"Luiz Antônio de Assis Brasil","1945","","Breviário das Terras do Brasil","1982","Conjunto de narrativas curtas que percorrem as paisagens e tipos humanos do Brasil, com destaque para o sul, em uma prosa poética e descritiva.","Narrativa, Paisagem, Brasil, Prosa Poética","Contos, Paisagem, Brasil, Prosa Poética"
"Luiz Antônio de Assis Brasil","1945","","Cães da Província","1987","Romance sobre a vida política e os bastidores do poder no Rio Grande do Sul, abordando corrupção, ambição e as relações humanas em uma província.","Política, Poder, Corrupção, Sociedade","Romance, Política, Gaúcho, Província"
"Luiz Antônio de Assis Brasil","1945","","Videiras de Cristal","1990","Romance que entrelaça as histórias de personagens em torno da produção de vinho na região da Serra Gaúcha, refletindo sobre a imigração italiana e a cultura do vinho.","Imigração Italiana, Vinho, Cultura, Família","Romance, Vinho, Serra Gaúcha, Imigração Italiana"
"Luiz Antônio de Assis Brasil","1945","","O Sumiço da Santa","1990","Narrativa em que uma imagem de santo desaparece, desencadeando uma série de eventos que revelam conflitos religiosos e sociais em uma comunidade gaúcha.","Religião, Comunidade, Conflito Social","Romance, Santo, Desaparecimento, Comunidade"
"Luiz Antônio de Assis Brasil","1945","","Manhã Transfigurada","1993","Romance de formação que acompanha a juventude do protagonista em meio às transformações políticas e culturais do Brasil dos anos 1960 e 1970.","Romance de Formação, Ditadura, Juventude, Política","Romance, Formação, Ditadura, Juventude"
"Luiz Antônio de Assis Brasil","1945","","Um Castelo no Pampa","1997","Ficção histórica que recria a construção de um castelo no pampa gaúcho, explorando a mentalidade europeia e o choque com a realidade sul-americana.","Ficção Histórica, Imigração Europeia, Pampa","Romance, Castelo, Pampa, Imigração Europeia"
"Luiz Antônio de Assis Brasil","1945","","Concerto Campestre","1997","Romance que mistura música, amor e paisagem, contando a história de um músico que busca inspiração no interior do Rio Grande do Sul.","Música, Amor, Paisagem, Inspiração","Romance, Música, Campo, Paisagem"
"Caio Fernando Abreu","1948","1996","Inventário do Irremediável","1970","Primeiro livro de contos, marcado por uma linguagem existencialista e pela temática da alienação, da busca de sentido e da juventude.","Existencialismo, Alienação, Juventude, Busca","Contos, Existencialismo, Alienação, Juventude"
"Caio Fernando Abreu","1948","1996","O Ovo da Serpente","1975","Romance curto ou novela que aborda a repressão política e a violência do regime militar, utilizando uma narrativa simbólica e surreal.","Ditadura, Repressão, Simbolismo, Violência","Novela, Ditadura, Simbolismo, Violência"
"Caio Fernando Abreu","1948","1996","Pedras de Calcutá","1977","Coletânea de contos que retratam a solidão e o desencanto, com personagens marginalizados e situações de desalento, numa prosa seca e precisa.","Solidão, Desencanto, Personagens Marginalizados, Conto","Contos, Solidão, Desencanto, Marginalidade"
"Caio Fernando Abreu","1948","1996","Morangos Mofados","1982","Antologia de contos que se tornou um marco da literatura brasileira, abordando a geração pós-ditadura, a AIDS, a sexualidade e a vida urbana.","Contos, AIDS, Sexualidade, Urgência, Geração","Contos, AIDS, Sexualidade, Geração 80"
"Caio Fernando Abreu","1948","1996","Dragões Não Conhecem o Paraíso","1988","Coletânea de contos que transitam entre o realismo e o fantástico, explorando a solidão, o amor e a morte em um mundo em decadência.","Contos, Realismo Fantástico, Solidão, Decadência","Contos, Dragões, Paraíso, Solidão"
"Caio Fernando Abreu","1948","1996","Onde Andará Dulce Veiga?","1988","Romance policial e de mistério que envolve o desaparecimento de uma cantora, retratando a cultura pop e a busca por identidade no Brasil dos anos 1970.","Romance Policial, Mistério, Cultura Pop, Identidade","Romance, Mistério, Cantora, Dulce Veiga"
"Caio Fernando Abreu","1948","1996","Pequenas Epifanias","1996","Última coletânea de contos, publicada pouco antes de sua morte, com temas como memória, amizade e o fim iminente, em um tom melancólico e belo.","Contos, Memória, Amizade, Morte, Melancolia","Contos, Epifanias, Melancolia, Últimos Dias"
"Caio Fernando Abreu","1948","1996","Cartas","1997","Coletânea póstuma de cartas do autor, revelando sua intimidade, sua visão de mundo e seu processo criativo.","Cartas, Epistolar, Intimidade, Vida","Cartas, Correspondência, Intimidade, Literatura"
"Lya Luft","1938","2021","As Parceiras","1980","Romance que aborda as relações entre mulheres (mães, filhas, amigas) e os conflitos de geração, com uma linguagem lírica e intimista.","Relações Femininas, Conflitos Geracionais, Intimidade","Romance, Mulheres, Família, Intimidade"
"Lya Luft","1938","2021","Reunião de Família","1982","Romance que explora a dinâmica familiar, os segredos e as mágoas, revelando a complexidade dos laços afetivos.","Família, Segredos, Conflitos, Afetividade","Romance, Família, Reunião, Conflitos"
"Lya Luft","1938","2021","O Quarto Fechado","1984","Romance que mergulha na mente de uma mulher em crise, tratando de solidão, memória e a busca de si mesma.","Crítica, Introspecção, Memória, Autoconhecimento","Romance, Introspecção, Solidão, Autoconhecimento"
"Lya Luft","1938","2021","O Rio do Meio","1998","Romance que aborda a vida e as relações de uma família ao longo do tempo, com foco na passagem do tempo e na memória.","Memória, Tempo, Família, Passagem","Romance, Rio, Tempo, Memória"
"Lya Luft","1938","2021","Perdas e Ganhos","2003","Romance que reflete sobre perdas e ganhos afetivos, as escolhas e os arrependimentos, com a marca da autora de uma prosa poética.","Perda, Ganho, Escolha, Arrependimento","Romance, Perdas, Ganhos, Afeto"
"Lya Luft","1938","2021","Pensar é Transgredir","2004","Coletânea de crônicas e ensaios que abordam a vida, a escrita, a condição feminina e a liberdade, refletindo sobre o papel da mulher na sociedade.","Crônica, Ensaio, Condição Feminina, Liberdade","Crônicas, Ensaios, Pensar, Transgressão"
"Martha Medeiros","1961","","Felicidade","2001","Crônicas que discutem a felicidade em sua complexidade, com tom leve e introspectivo, abordando o cotidiano e as relações.","Crônicas, Felicidade, Cotidiano, Relações","Crônicas, Felicidade, Cotidiano"
"Martha Medeiros","1961","","O Lado Fatal","2001","Crônicas que exploram o lado mais sombrio da vida, como o medo, a insegurança e as perdas, com ironia e sensibilidade.","Crônicas, Medo, Perdas, Ironia","Crônicas, Lado Fatal, Medo, Perda"
"Martha Medeiros","1961","","Divã","2002","Romance que narra a história de uma mulher que busca autoconhecimento através da psicanálise, abordando temas como desejo, identidade e relações.","Psicanálise, Autoconhecimento, Desejo, Identidade","Romance, Divã, Psicanálise, Autoconhecimento"
"Martha Medeiros","1961","","Trem-Bala","2005","Crônicas que tratam da vida moderna, da velocidade do tempo, dos relacionamentos e das pequenas observações do dia-a-dia.","Crônicas, Cotidiano, Relações, Tempo","Crônicas, Trem-Bala, Cotidiano, Velocidade"
"Martha Medeiros","1961","","Doidas e Santas","2008","Crônicas sobre mulheres, suas dores, seus amores e sua força, com um olhar afetuoso e ao mesmo tempo crítico.","Crônicas, Mulheres, Amor, Força","Crônicas, Doidas, Santas, Mulheres"
"Martha Medeiros","1961","","Fora de Mim","2010","Crônicas que abordam a busca por si mesmo, a solidão e a necessidade de conexão, com um tom intimista e honesto.","Crônicas, Solidão, Conexão, Introspecção","Crônicas, Fora de Mim, Intimidade, Busca"
"Martha Medeiros","1961","","A Mulher que Não Sabia Amar","2018","Romance sobre uma mulher que se descobre inábil para o amor, narrando suas tentativas e fracassos em relacionamentos.","Romance, Amor, Relacionamentos, Autoconhecimento","Romance, Mulher, Amor, Autoconhecimento"
"Leticia Wierzchowski","1972","","O Trem e Outras Histórias","1994","Coletânea de contos que retratam o cotidiano gaúcho, com personagens simples e situações que revelam a alma do povo.","Contos, Cotidiano, Gaúcho, Simplicidade","Contos, Trem, Cotidiano, Gaúcho"
"Leticia Wierzchowski","1972","","A Casa das Sete Mulheres","2002","Romance histórico que narra a história de sete mulheres que vivem em uma casa no Rio Grande do Sul durante a Quarentena da Guerra do Paraguai, abordando amor, medo e resistência.","Romance Histórico, Guerra do Paraguai, Mulheres, Resistência","Romance, Sete Mulheres, Guerra do Paraguai, Casa"
"Leticia Wierzchowski","1972","","Um Farol no Pampa","2006","Romance que se passa em uma região de fronteira, onde um farol solitário se torna símbolo de esperança e de encontros.","Romance, Fronteira, Esperança, Solidão","Romance, Farol, Pampa, Fronteira"
"Leticia Wierzchowski","1972","","O Amante Mexicano","2011","Romance que explora as relações amorosas e culturais entre o Brasil e o México, com uma trama de paixão e conflitos.","Romance, Relação Intercultural, Paixão, Conflito","Romance, Amante, México, Paixão"
"Leticia Wierzchowski","1972","","Uma Carta para Anita","2011","Romance epistolar que conta a história de uma amizade e de amor não correspondido, com uma narrativa sensível sobre afeto e distância.","Romance Epistolar, Amizade, Amor, Distância","Romance, Carta, Anita, Afeto"
"Leticia Wierzchowski","1972","","Sal","2013","Romance que se passa em uma comunidade litorânea, abordando a vida dos pescadores e as segredos da família, com uma atmosfera de mistério.","Romance, Comunidade, Pescadores, Mistério","Romance, Sal, Litoral, Mistério"
"Leticia Wierzchowski","1972","","A Mar que nos Separa","2015","Romance que aborda a distância e a separação, tendo o mar como pano de fundo e símbolo da saudade e da espera.","Romance, Distância, Saudade, Mar","Romance, Mar, Separação, Saudade"
"Daniel Galera","1979","","Até o Dia em que o Cão Morreu","2003","Romance de estreia, com uma narrativa intensa sobre a amizade, a morte e a vida jovem em meio à violência urbana.","Romance, Amizade, Morte, Juventude","Romance, Cão, Morte, Juventude"
"Daniel Galera","1979","","Mãos de Cavalo","2006","Romance que aborda a formação de um jovem em uma cidade interiorana, com um tom de realismo sujo e reflexões sobre masculinidade.","Romance de Formação, Masculinidade, Interior","Romance, Mãos, Cavalo, Formação"
"Daniel Galera","1979","","Cordilheira","2008","Romance que se passa em uma região serrana, onde os personagens lidam com a solidão e a natureza, numa prosa seca e poética.","Romance, Natureza, Solidão, Paisagem","Romance, Cordilheira, Serra, Solidão"
"Daniel Galera","1979","","Barba Ensopada de Sangue","2012","Romance de suspense que acompanha um homem em busca do pai desaparecido, com uma trama que mistura violência e afeto.","Romance, Suspense, Busca, Violência","Romance, Barba, Sangue, Busca"
"Luisa Geisler","1991","","Contos de Mentira","2011","Coletânea de contos que brincam com a realidade e a ficção, em uma linguagem irreverente e jovem.","Contos, Metaficção, Jovem, Irreverência","Contos, Mentira, Metaficção"
"Luisa Geisler","1991","","Quieto","2011","Romance curto com uma narrativa minimalista sobre um jovem que busca silêncio e isolamento.","Romance, Silêncio, Isolamento, Jovem","Romance, Quieto, Silêncio"
"Luisa Geisler","1991","","Quiçá","2013","Romance que aborda as incertezas da vida jovem, com uma prosa ágil e fragmentada.","Romance, Juventude, Incerteza, Fragmentação","Romance, Quiçá, Juventude, Incerteza"
"Luisa Geisler","1991","","Luzes de Emergência Piscarão Altamente","2014","Coletânea de contos que capturam o cotidiano de jovens em situações limite, com humor e desalento.","Contos, Jovens, Cotidiano, Humor","Contos, Luzes, Emergência, Jovens"
"Luisa Geisler","1991","","De Espaços Abandonados","2018","Romance sobre a memória e o abandono, narrado a partir de espaços que foram ocupados e agora estão vazios.","Romance, Memória, Abandono, Espacialidade","Romance, Espaços, Abandono, Memória"
"Luisa Geisler","1991","","Encrenca","2019","Romance de suspense ou mistério que envolve uma trama de confusões e enganos, com um tom de comédia negra.","Romance, Suspense, Comédia Negra, Engano","Romance, Encrenca, Confusão"
"Natalia Borges Polesso","1983","","Amora","2015","Coletânea de contos que exploram a experiência lésbica, a afetividade e a vida de mulheres em diferentes fases, com sensibilidade e força.","Contos, Lésbico, Afetividade, Mulheres","Contos, Amora, Lésbico, Afeto"
"Natalia Borges Polesso","1983","","A Extinção das Abelhas","2021","Romance ou narrativa que aborda questões ambientais e existenciais, tendo como metáfora o desaparecimento das abelhas.","Romance, Ambientalismo, Existencialismo, Metáfora","Romance, Abelhas, Extinção, Ambientalismo"
"Jeferson Tenório","1977","","O Avesso da Pele","2020","Romance que aborda o racismo estrutural no Brasil, narrando a história de um professor negro e seu filho, com uma linguagem dolorosa e bela.","Racismo, Identidade, Família, Violência","Romance, Pele, Racismo, Família"
"Taiasmin Ohnmacht","1985","","Vozes de Retratos Íntimos","2018","Coletânea de contos que examinam relações amorosas e familiares, com foco na intimidade e nos silêncios.","Contos, Intimidade, Relações, Família","Contos, Retratos, Íntimos, Vozes"Taiasmin Ohnmacht, 1985, , Uma Chance de Continuar Assim, 2021
"Lilian Rocha","1975","","A Vida Pulsante","2013","Romance que acompanha a trajetória de uma mulher em busca de sua identidade, com forte carga emocional e reflexões sobre a vida e o amor.","Romance, Identidade, Emoção, Superação","Romance, Vida, Identidade, Emoção"
"Lilian Rocha","1975","","A Vida no Olhar","2013","Continuação ou obra complementar que explora os olhares e as percepções sobre o mundo, com foco na subjetividade.","Romance, Subjetividade, Percepção, Introspecção","Romance, Olhar, Percepção, Subjetividade"
"Lilian Rocha","1975","","Código de Barras","2017","Romance que aborda a sociedade de consumo e a busca por significado em um mundo onde as pessoas são reduzidas a códigos.","Ficção Social, Consumo, Identidade, Crítica","Romance, Consumo, Sociedade, Crítica, Código"
"Lilian Rocha","1975","","Rochedo","2020","Romance que explora a força e a resistência, usando a metáfora do rochedo para falar de superação e persistência.","Romance, Superação, Resistência, Metáfora","Romance, Rochedo, Superação, Força"
"Lilian Rocha","1975","","Menina Pretinha Menina de Fita","2022","Livro infantojuvenil que celebra a cultura afro-brasileira e a identidade negra, com versos e ilustrações.","Literatura Infantil, Negritude, Identidade, Cultura Afro","Infantil, Negritude, Identidade, Fita, Cultura"
"Veronica Stigger","1973","","Opisanie Swiata","2013","Romance experimental que mistura gêneros, com referências a uma enciclopédia medieval e uma reflexão sobre a história e a narrativa.","Ficção Experimental, História, Narrativa, Metalinguagem","Romance, Experimental, Enciclopédia, História"
"Veronica Stigger","1973","","Gran Cabaret Demenzial","2014","Romance que satiriza o mundo artístico e cultural, com um tom absurdo e crítico, ambientado em um cabaré.","Sátira, Cultura, Absurdo, Crítica","Romance, Cabaré, Sátira, Cultura"
"Samir Machado de Machado","1975","","A Lógica da Bengala","2014","Romance de suspense que envolve uma bengala que carrega segredos, misturando mistério e drama familiar.","Suspense, Mistério, Família","Romance, Bengala, Mistério, Suspense"
"Samir Machado de Machado","1975","","Homens Elegantes","2016","Romance que aborda as relações humanas e os segredos que envolvem homens aparentemente elegantes e bem-sucedidos.","Drama Social, Relações Humanas, Segredos","Romance, Elegância, Segredos, Relações"
"Samir Machado de Machado","1975","","O Crime do Bento","2016","Romance policial ambientado no sul do Brasil, com investigação e reviravoltas.","Romance Policial, Crime, Investigação","Romance Policial, Crime, Investigação"
"Samir Machado de Machado","1975","","Tupiniquim","2019","Romance que resgata a figura do índio tupiniquim, mesclando passado e presente, e abordando a identidade nacional.","Indianismo, Identidade, História","Romance, Índio, Identidade, Brasil"
"José Falero","1983","","Os Suplementares","2020","Romance sobre a classe trabalhadora e as periferias, com um olhar crítico sobre a sociedade contemporânea e as desigualdades sociais.","Romance Social, Periferia, Desigualdade, Trabalho","Romance, Periferia, Desigualdade, Trabalho"
"José Falero","1983","","Vila Contentamento","2022","Romance que retrata a vida em uma vila periférica, com humor e drama, abordando amizade, amor e sonhos.","Romance Social, Periferia, Amizade, Humor","Romance, Vila, Periferia, Amizade"
